======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATIONS
======================================================================
You can reach key global markets early in the day with FedEx
International First. Delivery is in 1, 2 or 3 business days to
select postal codes. Ship packages up to 150 lbs. (unlimited total
shipment weight). See below for a complete list of the cities
and postal codes served, and our delivery commitment time. For
service details, see FedEx International First in Our Services.

Delivery is available outbound from the U.S. to:
Australia          England             Mexico
Austria            France              Netherlands
Belgium            Germany             Puerto Rico
Brazil             India               Singapore
Canada             Italy               Spain
China              Japan               Switzerland
Denmark            Luxembourg



======================================================================
FEDEX INTERNATIONAL FIRST® DESTINATION POSTAL CODES
======================================================================

Effective: October 2, 2012
City                                              Postal Code                                   Del. By

VIENNA                                            1122                                          10:00am
VIENNA                                            1123                                          10:00am
VIENNA                                            1124                                          10:00am
VIENNA                                            1125                                          10:00am
VIENNA                                            1126                                          10:00am
VIENNA                                            1127                                          10:00am
VIENNA                                            1130                                          10:00am
VIENNA                                            1134                                          10:00am
VIENNA                                            1136                                          10:00am
VIENNA                                            1140                                          10:00am
VIENNA                                            1142                                          10:00am
VIENNA                                            1143                                          10:00am
VIENNA                                            1144                                          10:00am
VIENNA                                            1145                                          10:00am
VIENNA                                            1147                                          10:00am
VIENNA                                            1150                                          10:00am
VIENNA                                            1152                                          10:00am
VIENNA                                            1153                                          10:00am
VIENNA                                            1160                                          10:00am
VIENNA                                            1162                                          10:00am
VIENNA                                            1163                                          10:00am
VIENNA                                            1164                                          10:00am
VIENNA                                            1165                                          10:00am
VIENNA                                            1166                                          10:00am
VIENNA                                            1170                                          10:00am
VIENNA                                            1172                                          10:00am
VIENNA                                            1173                                          10:00am
VIENNA                                            1174                                          10:00am
VIENNA                                            1180                                          10:00am
VIENNA                                            1182                                          10:00am
VIENNA                                            1183                                          10:00am
VIENNA                                            1184                                          10:00am
VIENNA                                            1190                                          10:00am
VIENNA                                            1192                                          10:00am
VIENNA                                            1193                                          10:00am
VIENNA                                            1194                                          10:00am
VIENNA                                            1195                                          10:00am
VIENNA                                            1196                                          10:00am
VIENNA                                            1197                                          10:00am
VIENNA                                            1199                                          10:00am
VIENNA                                            1200                                          10:00am
VIENNA                                            1202                                          10:00am
VIENNA                                            1203                                          10:00am
VIENNA                                            1204                                          10:00am
VIENNA                                            1205                                          10:00am
VIENNA                                            1210                                          10:00am
VIENNA                                            1212                                          10:00am
VIENNA                                            1213                                          10:00am
VIENNA                                            1214                                          10:00am
VIENNA                                            1215                                          10:00am
VIENNA                                            1216                                          10:00am
VIENNA                                            1217                                          10:00am
VIENNA                                            1218                                          10:00am
VIENNA                                            1220                                          10:00am
VIENNA                                            1222                                          10:00am
VIENNA                                            1223                                          10:00am
VIENNA                                            1224                                          10:00am
VIENNA                                            1225                                          10:00am
VIENNA                                            1226                                          10:00am
VIENNA                                            1227                                          10:00am
VIENNA                                            1228                                          10:00am
VIENNA                                            1229                                          10:00am
VIENNA                                            1230                                          10:00am
VIENNA                                            1232                                          10:00am
VIENNA                                            1233                                          10:00am
VIENNA                                            1234                                          10:00am
VIENNA                                            1235                                          10:00am
VIENNA                                            1236                                          10:00am
VIENNA                                            1237                                          10:00am
VIENNA                                            1238                                          10:00am
VIENNA                                            1239                                          10:00am
VIENNA                                            1300                                          9:30am
VIENNA                                            1400                                          10:00am
VIENNA-AUSTRIA CENTER                             1450                                          10:00am
VOESENDORF                                        2331                                          9:30am
VOESENDORF-SUED                                   2334                                          9:30am
WEIDLING                                          3411                                          10:00am
WIENER NEUDORF                                    2351                                          10:00am
WIENER NEUDORF                                    2355                                          10:00am

BELGIUM
AARTSELAAR                                        2630                                          9:00am
ANDERLECHT                                        1070                                          9:00am
ANTWERP                                           2000                                          9:00am
ANTWERP                                           2018                                          9:00am
ANTWERP                                           2020                                          9:00am
ANTWERP                                           2030                                          9:00am
ANTWERP                                           2050                                          9:00am
ANTWERP                                           2060                                          9:00am
BEIGEM                                            1852                                          9:00am
BERCHEM                                           2600                                          9:00am
BORGERHOUT                                        2140                                          9:00am
BRUCARGO                                          1931                                          9:00am
BRUSSELS                                          1000                                          9:00am
BRUSSELS                                          1005                                          9:00am
BRUSSELS                                          1006                                          9:00am
BRUSSELS                                          1007                                          9:00am
BRUSSELS                                          1008                                          9:00am
BRUSSELS                                          1009                                          9:00am
BRUSSELS                                          1010                                          9:00am
BRUSSELS                                          1011                                          9:00am
BRUSSELS                                          1012                                          9:00am
BRUSSELS                                          1031                                          9:00am
BRUSSELS                                          1041                                          9:00am
