=====================================================================
FEDEX FREIGHT ADDITIONAL PICKUP AND DELIVERY CHARGE TIERS BY ZIP CODE
=====================================================================

CONTIGUOUS U.S.
An additional pickup and delivery charge will apply to shipments to/from select contiguous 
U.S. ZIP codes. For a list of the ZIP codes where this charge applies, see below. 
The additional charge applies to shipments rated using FedEx Freight zone-based pricing.

Effective Jan. 7, 2019

FedEx reserves the right in its sole discretion to change, without notice and as frequently 
as it determines, the list of postal codes where a pickup or delivery charge may apply.

========================================
ZIP CODE  ORIGIN TIER	DESTINATION TIER
12953			B			C
12955			A			A
12956			B			C
12957			B			D
12958-12959		A			A
12960-12961		B			C
12964			A			B
12965			B			D
12966			B			C
12967			B			D
12969-12970		B			C
12973			B			D
12974			B			C
12976			A			B
12977			B			C
12978-12979		A			A
12980			B			D
12983			B			C
12986			B			D
12987			A			B
12989			A			B
12993			A			B
12995			B			C
12996			A			A
12997			A			B
12998			B			C
13026			A			A
13028			A			A
13033-13034		A			A
13040			A			A
13042			A			A
13044-13045		A			A
13052			A			A
13053			A			B
13062			A			B
13064			A			B
13065			A			A
13068			A			B
13069			A			A
13071			A			B
13072			A			A
13073			A			B
13074			A			A
13076-13077		A			A
13081			A			A
13092			A			A
13093			A			B
13101-13102		A			A
13107			A			A
13111			A			B
13114-13115		A			A
13117-13118		A			A
13121			A			A
13123-13124		A			A
13126			A			A
13131			A			A
13134			A			A
13136			A			A
13139-13140		A			A
13142-13144		A			A
13146			A			B
13147-13148		A			A
13154			A			B
13155			A			A
13156			A			B
13157			A			A
13160			A			A
13162			A			A
13165-13166		A			A
13301-13302		A			A
13303			A			B
13305			A			A
13308			A			A
13309			A			B
13312			A			B
13315-13316		A			A
13317			B			B
13320			A			B
13325-13326		A			B
13327			A			A
13329			A			A
13331			B			D
13332			A			A
13333			A			B
13334-13335		A			A
13337			A			B
13338			A			A
13339			A			B
13342			A			A
13343			A			B
13345			A			B
13346			A			A
13348			A			B
13352			A			A
13353			A			B
13355			A			A
13360			B			D
13361			A			A
13363			A			A
13365			A			A
13367			A			A
13368			A			B
13401			A			A
13404			A			A
13406			A			A
13408-13409		A			A
13410			A			B
13411			A			A
13415			A			B
13416			A			A
13420			B			C
13426			A			A
13428			B			B
13433			A			B
13436			B			D
13437			A			B
13439			A			A
13450			A			B
13452			A			B
13454			A			A
13457			A			A
13459			A			B
13460			A			A
13464			A			B
13468			A			B
13470			A			B
13471			A			A
13472			B			C
13473			A			B
13475			A			B
13478			A			A
13482			A			A
13483			A			B
13484			A			A
13486			A			A
13488			B			C
13489			A			B
13493-13494		A			B
13602			A			A
13607-13608		A			A
13613			B			D
13614			A			C
13617			B			C
13618			A			A
13620			A			A
13621			B			D
13623			A			B
13624			A			A
13625			B			D
13630			B			C
13631			A			A
13633			B			C
13635			B			C
13636			A			A
13639			B			C
13640-13641		A			A
13642			A			B
13645-13646		A			B
13647			B			C
13648			A			B
13649			B			D
13650			A			A
13652			B			C
13654			B			B
13655			B			D
13656			A			A
13658			B			B
13660			B			D
13661			A			A
13662			C			D
13664			B			B
13665			A			A
13666			B			D
13667			B			C
13668			B			D
13669			B			B
13670			B			C
13671			A			A
13672			C			D
13674-13675		A			A
13676-13677		B			C
13678			C			C
13679			A			A
13680			B			B
13681			A			B
13683			B			D
13684			B			C
13687			B			D
13690			B			C
13691-13692		A			A
13694			C			E
13695-13697		B			D
13699			B			C
13730			A			A
13731			B			D
13733			A			A
13736			A			A
13738			A			A
13739-13740		B			D
13743			A			A
13747			B			B
13750			B			D
13751-13753		B			C
13754			A			A
13755-13757		B			C
13758			A			B
13774-13775		A			B
13776			A			C
13780			A			B
13782			B			C
13783-13784		A			B
13786			B			C
13788			B			D
13796			B			C
13801			A			B
13803-13804		A			A
13806			B			C
13807			B			B
13808			A			B
13809			A			A
13810			B			C
13812			A			A
13814-13815		A			A
13820			B			B
13825			B			C
13830			A			A
13832			A			B
13834			B			B
13835			A			A
13837			B			C
13838			A			A
13839			B			C
13840			A			A
13842			B			D
13843			A			B
13844-13845		A			A
13846			B			C
13847			A			B
13849			A			A
13856			B			C
13859			A			B
13860			B			C
13861			B			B
13863-13864		A			A
14005			A			A
14008-14009		A			A
14011-14013		A			A
14020-14021		A			A
14024			A			A
14028			A			A
14029			A			B
14030			A			A
14034-14036		A			A
14039			A			A
14041			A			A
14042			A			B
14054-14056		A			A
14058			A			A
14060			A			B
14062			A			A
14065-14066		A			B
14067			A			A
14069-14070		A			A
14080-14083		A			A
14098			A			A
14101			A			A
14103			A			A
14105			A			A
14108			A			A
14113			A			A
14125-14126		A			A
14129			A			A
14130			A			C
14131			A			A
14133-14136		A			A
14138			A			A
14141			A			A
14143			A			A
14145			A			A
14166-14168		A			A
14171-14174		A			A
14411			A			A
14413			A			A
14415			A			A
14418			A			B
14427			A			B
14432-14433		A			A
14435			A			A
14437			A			B
14441			A			A
14454			A			A
14456			A			A
14461			A			A
14462			A			B
14463			A			A
14466			A			A
14471			A			A
14476-14477		A			A
14478			A			B
14479			A			A
14481			A			A
14486			A			A
14489			A			A
14507			A			A
14510			A			A
14512			A			B
14513			A			A
14516			A			A
14517			A			B
14518			A			A
14521			B			B
14525			A			A
14527			A			B
14529			B			B
14530			A			B
14532-14533		A			A
14536			A			B
14539			A			A
14541			A			B
14542			A			A
14544-14545		A			A
14547			A			A
14549-14550		A			B
14551			A			A
14555			A			A
14556			A			B
14560			A			B
14561			A			A
14569			A			A
14571			A			A
14572			A			B
14588			B			C
14590-14592		A			A
14707-14708		A			A
14709			B			C
14711			A			B
14714			A			B
14715-14716		A			A
14717			B			C
14719			A			A
14721			A			A
14727			A			A
14729			A			A
14731			A			A
14735			B			C
14737			A			B
14739			A			B
14743			A			A
14744-14745		B			C
14751			A			A
14754-14755		A			A
14766			A			A
14769			A			A
14774			A			A
14777			B			C
14786-14787		A			A
14801			A			A
14802			B			C
14803			B			B
14804			B			C
14806-14807		B			B
14808			B			C
14809-14810		A			B
14813			A			B
14815			A			B
14817-14818		A			A
14819-14820		A			B
14821			A			A
14822			B			C
14823			B			B
14826			B			C
14827			A			A
14836			B			B
14837			A			A
14839-14841		A			B
14842			A			A
14843			B			B
14846			B			C
14847			A			B
14850-14853		A			A
14854-14856		A			B
14857-14858		A			A
14860			B			B
14863			A			B
14867			A			A
14873-14874		B			C
14876			A			A
14877			B			C
14878-14879		A			A
14880			B			B
14881-14882		A			B
14883			A			A
14884			B			B
14885			A			A
14886			A			B
14887			A			A
14893			A			B
14895			B			B
14897			B			B
14898			A			B
15211			A			A
15213			A			A
15219			A			A
15222			A			A
15224			A			A
15240			A			A
15251-15255		A			A
15257-15259		A			A
15261-15265		A			A
15267-15268		A			A
15272			A			A
15274			A			A
15277			A			A
15279			A			A
15281-15282		A			A
15285			A			A
15311			A			A
15313			A			A
15320			A			A
15324-15325		A			A
15333			A			A
15341			A			A
15345			A			A
15348			A			A
15351-15353		A			A
15357-15358		A			A
15368			A			A
15410			A			A
15412-15413		A			A
15415			A			A
15417			A			A
15419-15423		A			A
15425			A			A
15427-15431		A			A
15433			A			B
15434-15435		A			A
15437			A			A
15442-15444		A			A
15447			A			A
15450			A			A
15455			A			A
15461			A			A
15463			A			A
15465-15466		A			A
15475-15477		A			A
15480			A			A
15483			A			A
15486			A			A
15521-15522		A			A
15532			A			A
15533			A			B
15535			A			A
15536			B			C
15537			A			A
15539			A			A
15550			A			A
15554			A			A
15558-15559		A			A
15562			A			A
15565			A			A
15712			A			A
15714			A			A
15721-15722		A			A
15724			A			A
15730			A			A
15737-15738		A			A
15741-15742		A			A
15744			A			A
15753			A			A
15757-15758		A			A
15760			A			A
15762-15764		A			A
15770			A			A
15772-15773		A			A
15775-15776		A			A
15778-15781		A			A
15784			A			A
15821			A			A
15828-15829		A			A
15832			A			A
15834			A			A
15845-15846		A			A
15853			A			A
15857			A			A
15860			A			A
15861			A			B
15864			A			A
